Дата;Температура, °С
22-12-2018;-13.51
23-12-2018;-11.55
24-12-2018;-7.46
25-12-2018;-8.67
26-12-2018;-9.12
27-12-2018;-6.75
28-12-2018;-7.97
29-12-2018;-11.15
30-12-2018;-13.58
31-12-2018;-13.17
01-01-2019;-13.00
02-01-2019;-7.22
03-01-2019;-5.78
04-01-2019;-7.38
05-01-2019;-7.45
06-01-2019;-9.27
07-01-2019;-15.60
08-01-2019;-15.99
09-01-2019;-13.54
10-01-2019;-10.72
11-01-2019;-11.18
12-01-2019;-7.79
13-01-2019;-9.03
14-01-2019;-8.87
15-01-2019;-4.76
16-01-2019;-2.51
17-01-2019;-6.27
18-01-2019;-6.08
19-01-2019;-2.65
20-01-2019;-8.18
21-01-2019;-9.52
