Дата;Температура, °С
19-03-2016;-5.36
20-03-2016;-7.44
21-03-2016;-6.95
22-03-2016;-5.38
23-03-2016;-1.08
24-03-2016;-1.33
25-03-2016;-0.46
26-03-2016;2.54
27-03-2016;2.67
28-03-2016;2.05
29-03-2016;2.32
30-03-2016;2.48
31-03-2016;3.54
01-04-2016;3.50
02-04-2016;2.80
03-04-2016;2.45
04-04-2016;2.47
05-04-2016;2.08
06-04-2016;2.29
07-04-2016;3.94
08-04-2016;6.58
09-04-2016;9.81
10-04-2016;13.02
11-04-2016;9.50
12-04-2016;7.09
13-04-2016;11.08
14-04-2016;12.97
15-04-2016;13.88
16-04-2016;15.61
17-04-2016;11.94
18-04-2016;8.58
