Дата;Температура, °С
19-03-2016;-6.03
20-03-2016;-6.66
21-03-2016;-5.84
22-03-2016;-3.41
23-03-2016;-2.95
24-03-2016;-3.56
25-03-2016;-1.56
26-03-2016;-0.09
27-03-2016;1.12
28-03-2016;2.41
29-03-2016;2.96
30-03-2016;3.84
31-03-2016;4.49
01-04-2016;3.67
02-04-2016;2.18
03-04-2016;3.81
04-04-2016;4.16
05-04-2016;3.68
06-04-2016;4.61
07-04-2016;6.80
08-04-2016;8.50
09-04-2016;10.60
10-04-2016;11.54
11-04-2016;8.75
12-04-2016;7.78
13-04-2016;9.35
14-04-2016;11.67
15-04-2016;10.31
16-04-2016;5.20
17-04-2016;6.62
18-04-2016;10.53
