Дата;Температура, °С
28-01-2012;-19.91
29-01-2012;-20.01
30-01-2012;-21.52
31-01-2012;-24.96
01-02-2012;-26.11
02-02-2012;-23.38
03-02-2012;-22.61
04-02-2012;-18.58
05-02-2012;-17.02
06-02-2012;-18.25
07-02-2012;-17.74
08-02-2012;-17.53
09-02-2012;-17.82
10-02-2012;-18.47
11-02-2012;-19.44
12-02-2012;-19.98
13-02-2012;-18.91
14-02-2012;-15.72
15-02-2012;-12.86
16-02-2012;-14.28
17-02-2012;-14.17
18-02-2012;-15.37
19-02-2012;-14.73
20-02-2012;-13.50
21-02-2012;-11.62
22-02-2012;-9.39
23-02-2012;-8.32
24-02-2012;-7.90
25-02-2012;-9.24
26-02-2012;-8.94
27-02-2012;-9.28
