Дата;Температура, °С
16-02-2019;-0.66
17-02-2019;-0.36
18-02-2019;-5.30
19-02-2019;-2.94
20-02-2019;-1.86
21-02-2019;-7.16
22-02-2019;-9.34
23-02-2019;-5.52
24-02-2019;-0.13
25-02-2019;1.57
26-02-2019;-1.04
27-02-2019;-3.60
28-02-2019;-2.74
01-03-2019;-7.48
02-03-2019;-8.72
03-03-2019;-8.52
04-03-2019;-9.15
05-03-2019;-6.37
06-03-2019;-9.64
07-03-2019;-5.88
08-03-2019;-1.73
09-03-2019;-0.11
10-03-2019;-0.19
11-03-2019;-2.63
12-03-2019;-4.86
13-03-2019;-4.99
14-03-2019;-4.50
15-03-2019;-0.96
16-03-2019;0.45
17-03-2019;0.61
18-03-2019;1.77
