Дата;Температура, °С
11-08-2012;16.66
12-08-2012;17.60
13-08-2012;18.54
14-08-2012;17.24
15-08-2012;18.81
16-08-2012;17.51
17-08-2012;17.64
18-08-2012;16.99
19-08-2012;17.70
20-08-2012;15.47
21-08-2012;10.57
22-08-2012;12.55
23-08-2012;15.18
24-08-2012;15.94
25-08-2012;16.08
26-08-2012;16.25
27-08-2012;15.72
28-08-2012;15.81
29-08-2012;14.95
30-08-2012;12.81
31-08-2012;11.61
01-09-2012;10.37
02-09-2012;10.04
03-09-2012;13.74
04-09-2012;14.05
05-09-2012;14.34
06-09-2012;15.81
07-09-2012;13.32
08-09-2012;11.56
09-09-2012;9.38
10-09-2012;9.78
