Дата;Температура, °С
24-11-2018;-15.30
25-11-2018;-12.89
26-11-2018;-13.22
27-11-2018;-11.71
28-11-2018;-13.31
29-11-2018;-18.26
30-11-2018;-18.65
01-12-2018;-15.99
02-12-2018;-12.91
03-12-2018;-14.17
04-12-2018;-11.29
05-12-2018;-9.65
06-12-2018;-10.59
07-12-2018;-10.93
08-12-2018;-10.16
09-12-2018;-9.97
10-12-2018;-10.00
11-12-2018;-10.71
12-12-2018;-9.66
13-12-2018;-7.23
14-12-2018;-7.93
15-12-2018;-9.21
16-12-2018;-8.28
17-12-2018;-7.26
18-12-2018;-9.67
19-12-2018;-14.21
20-12-2018;-18.24
21-12-2018;-15.68
22-12-2018;-18.58
23-12-2018;-24.35
24-12-2018;-23.52
