Дата;Температура, °С
31-08-2019;14.61
01-09-2019;14.63
02-09-2019;14.89
03-09-2019;14.87
04-09-2019;14.50
05-09-2019;14.01
06-09-2019;14.50
07-09-2019;14.04
08-09-2019;14.13
09-09-2019;14.49
10-09-2019;14.31
11-09-2019;14.25
12-09-2019;13.85
13-09-2019;13.68
14-09-2019;12.96
15-09-2019;11.73
16-09-2019;11.46
17-09-2019;11.59
18-09-2019;11.02
19-09-2019;10.19
20-09-2019;9.36
21-09-2019;7.64
22-09-2019;6.98
23-09-2019;6.97
24-09-2019;6.25
25-09-2019;6.12
26-09-2019;6.25
27-09-2019;6.30
28-09-2019;6.62
29-09-2019;6.52
30-09-2019;7.69
