Дата;Температура, °С
08-09-2012;9.60
09-09-2012;9.80
10-09-2012;9.70
11-09-2012;11.20
12-09-2012;12.80
13-09-2012;11.10
14-09-2012;12.80
15-09-2012;12.20
16-09-2012;12.50
17-09-2012;13.10
18-09-2012;14.90
19-09-2012;15.20
20-09-2012;13.40
21-09-2012;11.50
22-09-2012;9.70
23-09-2012;8.90
24-09-2012;8.70
25-09-2012;8.10
26-09-2012;7.70
27-09-2012;9.30
28-09-2012;10.90
29-09-2012;9.30
30-09-2012;8.40
01-10-2012;8.60
02-10-2012;9.80
03-10-2012;11.10
04-10-2012;10.20
05-10-2012;10.30
06-10-2012;8.90
07-10-2012;8.20
08-10-2012;7.60
