Дата;Температура, °С
06-08-2016;23.70
07-08-2016;25.01
08-08-2016;24.89
09-08-2016;22.23
10-08-2016;22.22
11-08-2016;23.40
12-08-2016;24.73
13-08-2016;25.54
14-08-2016;25.60
15-08-2016;24.35
16-08-2016;19.94
17-08-2016;22.96
18-08-2016;24.86
19-08-2016;25.61
20-08-2016;26.47
21-08-2016;25.74
22-08-2016;24.39
23-08-2016;24.24
24-08-2016;25.02
25-08-2016;23.13
26-08-2016;19.15
27-08-2016;18.03
28-08-2016;20.26
29-08-2016;15.12
30-08-2016;15.92
31-08-2016;19.33
01-09-2016;13.17
02-09-2016;12.45
03-09-2016;14.90
04-09-2016;15.93
05-09-2016;16.79
