Дата;Температура, °С
11-05-2019;15.89
12-05-2019;17.54
13-05-2019;17.02
14-05-2019;17.90
15-05-2019;20.07
16-05-2019;22.16
17-05-2019;22.40
18-05-2019;20.80
19-05-2019;19.69
20-05-2019;18.66
21-05-2019;18.68
22-05-2019;17.58
23-05-2019;17.96
24-05-2019;19.76
25-05-2019;19.04
26-05-2019;18.19
27-05-2019;19.05
28-05-2019;20.13
29-05-2019;22.32
30-05-2019;24.14
31-05-2019;24.65
01-06-2019;25.06
02-06-2019;25.94
03-06-2019;24.71
04-06-2019;23.94
05-06-2019;23.02
06-06-2019;22.33
07-06-2019;23.30
08-06-2019;23.58
09-06-2019;24.37
10-06-2019;25.26
