Дата;Температура, °С
08-07-2017;11.96
09-07-2017;13.63
10-07-2017;15.55
11-07-2017;18.50
12-07-2017;18.79
13-07-2017;18.32
14-07-2017;19.09
15-07-2017;20.08
16-07-2017;20.10
17-07-2017;16.82
18-07-2017;17.71
19-07-2017;17.40
20-07-2017;17.35
21-07-2017;17.66
22-07-2017;17.07
23-07-2017;16.62
24-07-2017;17.41
25-07-2017;18.86
26-07-2017;20.95
27-07-2017;22.72
28-07-2017;21.97
29-07-2017;24.21
30-07-2017;21.29
31-07-2017;19.69
01-08-2017;21.42
02-08-2017;21.73
03-08-2017;22.08
04-08-2017;20.26
05-08-2017;20.78
06-08-2017;19.75
07-08-2017;19.73
