Дата;Температура, °С
21-12-2019;-0.10
22-12-2019;1.96
23-12-2019;4.40
24-12-2019;3.61
25-12-2019;0.21
26-12-2019;-1.16
27-12-2019;-1.57
28-12-2019;-2.55
29-12-2019;-4.81
30-12-2019;-3.84
31-12-2019;0.14
01-01-2020;-1.01
02-01-2020;-1.01
03-01-2020;0.71
04-01-2020;-0.90
05-01-2020;-0.22
06-01-2020;-1.72
07-01-2020;-2.26
08-01-2020;-1.35
09-01-2020;-0.56
10-01-2020;0.46
11-01-2020;-1.29
12-01-2020;-2.80
13-01-2020;0.56
14-01-2020;0.29
15-01-2020;0.82
16-01-2020;2.13
17-01-2020;2.42
18-01-2020;0.65
19-01-2020;-1.08
20-01-2020;0.53
