Дата;Температура, °С
09-06-2018;17.91
10-06-2018;18.16
11-06-2018;18.01
12-06-2018;18.63
13-06-2018;19.35
14-06-2018;18.38
15-06-2018;16.55
16-06-2018;16.12
17-06-2018;18.14
18-06-2018;20.86
19-06-2018;21.72
20-06-2018;19.77
21-06-2018;19.34
22-06-2018;20.19
23-06-2018;21.26
24-06-2018;21.13
25-06-2018;22.70
26-06-2018;22.87
27-06-2018;23.63
28-06-2018;23.49
29-06-2018;22.20
30-06-2018;21.08
01-07-2018;21.61
02-07-2018;21.56
03-07-2018;20.35
04-07-2018;16.24
05-07-2018;14.10
06-07-2018;14.08
07-07-2018;14.93
08-07-2018;16.26
09-07-2018;16.47
