Дата;Температура, °С
14-07-2012;26.70
15-07-2012;27.70
16-07-2012;28.50
17-07-2012;23.40
18-07-2012;21.70
19-07-2012;22.70
20-07-2012;22.50
21-07-2012;26.80
22-07-2012;28.80
23-07-2012;30.90
24-07-2012;30.30
25-07-2012;26.70
26-07-2012;27.10
27-07-2012;27.80
28-07-2012;27.80
29-07-2012;28.70
30-07-2012;25.60
31-07-2012;25.00
01-08-2012;26.00
02-08-2012;27.00
03-08-2012;26.50
04-08-2012;28.90
05-08-2012;28.80
06-08-2012;28.10
07-08-2012;27.60
08-08-2012;31.50
09-08-2012;29.30
10-08-2012;26.00
11-08-2012;25.20
12-08-2012;27.20
13-08-2012;26.30
