Дата;Температура, °С
19-01-2019;-10.33
20-01-2019;-7.48
21-01-2019;-7.41
22-01-2019;-7.75
23-01-2019;-10.70
24-01-2019;-13.96
25-01-2019;-13.72
26-01-2019;-14.61
27-01-2019;-15.17
28-01-2019;-20.75
29-01-2019;-19.40
30-01-2019;-13.82
31-01-2019;-18.08
01-02-2019;-30.04
02-02-2019;-31.52
03-02-2019;-30.76
04-02-2019;-33.36
05-02-2019;-33.59
06-02-2019;-31.11
07-02-2019;-30.84
08-02-2019;-30.20
09-02-2019;-28.61
10-02-2019;-26.70
11-02-2019;-24.66
12-02-2019;-22.12
13-02-2019;-17.11
14-02-2019;-14.47
15-02-2019;-12.26
16-02-2019;-9.34
17-02-2019;-6.63
18-02-2019;-6.78
