Дата;Температура, °С
11-07-2015;17.83
12-07-2015;16.81
13-07-2015;16.44
14-07-2015;17.42
15-07-2015;17.77
16-07-2015;17.93
17-07-2015;17.84
18-07-2015;17.94
19-07-2015;18.26
20-07-2015;18.32
21-07-2015;18.54
22-07-2015;19.05
23-07-2015;18.93
24-07-2015;19.19
25-07-2015;19.56
26-07-2015;19.77
27-07-2015;19.87
28-07-2015;19.93
29-07-2015;20.03
30-07-2015;19.82
31-07-2015;19.99
01-08-2015;19.62
02-08-2015;18.92
03-08-2015;18.73
04-08-2015;18.55
05-08-2015;18.32
06-08-2015;17.74
07-08-2015;17.92
08-08-2015;19.01
09-08-2015;19.17
10-08-2015;19.19
