Дата;Температура, °С
24-01-2015;-8.11
25-01-2015;-5.26
26-01-2015;-4.65
27-01-2015;-4.47
28-01-2015;-3.74
29-01-2015;-3.19
30-01-2015;-3.46
31-01-2015;-3.21
01-02-2015;-2.38
02-02-2015;-2.54
03-02-2015;-4.77
04-02-2015;-8.62
05-02-2015;-10.43
06-02-2015;-7.23
07-02-2015;-5.32
08-02-2015;-5.36
09-02-2015;-10.51
10-02-2015;-4.35
11-02-2015;-0.43
12-02-2015;-0.55
13-02-2015;-1.86
14-02-2015;-4.13
15-02-2015;-7.34
16-02-2015;-10.76
17-02-2015;-7.21
18-02-2015;-3.84
19-02-2015;-2.61
20-02-2015;0.64
21-02-2015;0.72
22-02-2015;1.30
23-02-2015;1.10
