Дата;Температура, °С
02-11-2013;6.17
03-11-2013;6.43
04-11-2013;8.74
05-11-2013;6.76
06-11-2013;12.68
07-11-2013;9.47
08-11-2013;5.13
09-11-2013;5.94
10-11-2013;8.50
11-11-2013;7.00
12-11-2013;4.25
13-11-2013;3.41
14-11-2013;2.42
15-11-2013;2.41
16-11-2013;1.74
17-11-2013;4.53
18-11-2013;1.84
19-11-2013;-1.08
20-11-2013;0.82
21-11-2013;1.80
22-11-2013;3.06
23-11-2013;3.26
24-11-2013;2.94
25-11-2013;2.48
26-11-2013;1.00
27-11-2013;-3.41
28-11-2013;-1.10
29-11-2013;0.25
30-11-2013;-3.52
01-12-2013;-1.12
02-12-2013;-0.82
