Дата;Температура, °С
17-02-2018;-9.86
18-02-2018;-9.23
19-02-2018;-8.27
20-02-2018;-8.94
21-02-2018;-10.65
22-02-2018;-12.13
23-02-2018;-14.52
24-02-2018;-15.54
25-02-2018;-15.85
26-02-2018;-16.44
27-02-2018;-17.27
28-02-2018;-16.69
01-03-2018;-14.49
02-03-2018;-12.88
03-03-2018;-12.14
04-03-2018;-11.02
05-03-2018;-10.10
06-03-2018;-10.39
07-03-2018;-9.23
08-03-2018;-8.83
09-03-2018;-9.41
10-03-2018;-9.36
11-03-2018;-10.04
12-03-2018;-10.19
13-03-2018;-8.65
14-03-2018;-7.44
15-03-2018;-5.54
16-03-2018;-5.07
17-03-2018;-6.38
18-03-2018;-6.43
19-03-2018;-6.10
