Дата;Температура, °С
20-02-2016;-6.65
21-02-2016;-7.67
22-02-2016;-6.97
23-02-2016;-4.26
24-02-2016;-2.43
25-02-2016;-1.31
26-02-2016;-1.08
27-02-2016;-1.38
28-02-2016;-1.80
29-02-2016;-2.37
01-03-2016;-3.74
02-03-2016;-3.92
03-03-2016;-3.39
04-03-2016;-3.09
05-03-2016;-3.96
06-03-2016;-4.86
07-03-2016;-4.50
08-03-2016;-3.22
09-03-2016;-2.70
10-03-2016;-2.39
11-03-2016;-1.72
12-03-2016;-1.03
13-03-2016;-0.97
14-03-2016;-3.18
15-03-2016;-4.82
16-03-2016;-3.95
17-03-2016;-1.32
18-03-2016;-1.56
19-03-2016;-2.81
20-03-2016;-3.77
21-03-2016;-4.10
