Дата;Температура, °С
22-03-2014;7.85
23-03-2014;8.17
24-03-2014;10.49
25-03-2014;9.85
26-03-2014;6.43
27-03-2014;3.63
28-03-2014;1.47
29-03-2014;-2.30
30-03-2014;1.71
31-03-2014;1.32
01-04-2014;-1.67
02-04-2014;-2.33
03-04-2014;0.28
04-04-2014;0.75
05-04-2014;-0.59
06-04-2014;4.21
07-04-2014;5.22
08-04-2014;3.52
09-04-2014;1.56
10-04-2014;0.50
11-04-2014;1.72
12-04-2014;4.11
13-04-2014;6.49
14-04-2014;5.09
15-04-2014;8.41
16-04-2014;9.15
17-04-2014;7.87
18-04-2014;8.76
19-04-2014;11.58
20-04-2014;13.13
21-04-2014;14.54
