Дата;Температура, °С
23-03-2013;-6.77
24-03-2013;-3.88
25-03-2013;-7.24
26-03-2013;-8.72
27-03-2013;-7.44
28-03-2013;-4.36
29-03-2013;-3.43
30-03-2013;-1.58
31-03-2013;0.66
01-04-2013;-2.22
02-04-2013;-4.15
03-04-2013;-4.60
04-04-2013;-2.27
05-04-2013;-0.95
06-04-2013;-1.98
07-04-2013;-0.86
08-04-2013;2.54
09-04-2013;5.16
10-04-2013;7.27
11-04-2013;8.99
12-04-2013;8.42
13-04-2013;1.45
14-04-2013;0.19
15-04-2013;-0.12
16-04-2013;-0.16
17-04-2013;1.71
18-04-2013;4.14
19-04-2013;4.08
20-04-2013;3.94
21-04-2013;4.45
22-04-2013;6.55
