Дата;Температура, °С
12-05-2018;15.54
13-05-2018;16.14
14-05-2018;18.07
15-05-2018;19.46
16-05-2018;18.94
17-05-2018;19.32
18-05-2018;20.60
19-05-2018;19.58
20-05-2018;16.58
21-05-2018;13.29
22-05-2018;16.63
23-05-2018;19.02
24-05-2018;20.20
25-05-2018;14.27
26-05-2018;10.18
27-05-2018;14.43
28-05-2018;11.88
29-05-2018;11.72
30-05-2018;16.25
31-05-2018;9.02
01-06-2018;4.52
02-06-2018;9.34
03-06-2018;15.18
04-06-2018;18.29
05-06-2018;19.26
06-06-2018;13.39
07-06-2018;10.65
08-06-2018;12.58
09-06-2018;11.53
10-06-2018;10.06
11-06-2018;10.85
