Дата;Температура, °С
16-07-2011;18.70
17-07-2011;18.20
18-07-2011;17.80
19-07-2011;21.80
20-07-2011;24.40
21-07-2011;25.80
22-07-2011;25.50
23-07-2011;25.20
24-07-2011;23.20
25-07-2011;22.40
26-07-2011;23.60
27-07-2011;23.80
28-07-2011;22.20
29-07-2011;20.70
30-07-2011;17.50
31-07-2011;15.60
01-08-2011;13.40
02-08-2011;12.60
03-08-2011;15.20
04-08-2011;16.60
05-08-2011;15.10
06-08-2011;15.70
07-08-2011;16.00
08-08-2011;15.90
09-08-2011;16.80
10-08-2011;16.50
11-08-2011;15.80
12-08-2011;15.30
13-08-2011;14.20
14-08-2011;16.00
15-08-2011;16.50
