Дата;Температура, °С
13-07-2013;20.55
14-07-2013;19.84
15-07-2013;18.84
16-07-2013;18.50
17-07-2013;18.05
18-07-2013;17.58
19-07-2013;18.25
20-07-2013;17.61
21-07-2013;15.13
22-07-2013;14.50
23-07-2013;14.79
24-07-2013;15.13
25-07-2013;16.15
26-07-2013;16.92
27-07-2013;15.90
28-07-2013;16.98
29-07-2013;17.16
30-07-2013;17.73
31-07-2013;18.36
01-08-2013;18.76
02-08-2013;18.38
03-08-2013;17.80
04-08-2013;18.69
05-08-2013;19.28
06-08-2013;20.35
07-08-2013;20.44
08-08-2013;20.44
09-08-2013;21.21
10-08-2013;22.78
11-08-2013;22.58
12-08-2013;21.30
