Дата;Температура, °С
04-08-2018;18.29
05-08-2018;17.36
06-08-2018;16.99
07-08-2018;15.32
08-08-2018;16.45
09-08-2018;19.29
10-08-2018;22.36
11-08-2018;19.72
12-08-2018;16.58
13-08-2018;15.21
14-08-2018;14.42
15-08-2018;14.61
16-08-2018;15.40
17-08-2018;17.06
18-08-2018;18.54
19-08-2018;17.64
20-08-2018;15.94
21-08-2018;13.74
22-08-2018;13.06
23-08-2018;14.41
24-08-2018;16.77
25-08-2018;17.04
26-08-2018;15.57
27-08-2018;15.16
28-08-2018;14.85
29-08-2018;13.91
30-08-2018;14.83
31-08-2018;14.84
01-09-2018;15.04
02-09-2018;15.69
03-09-2018;15.99
