Дата;Температура, °С
12-05-2018;12.23
13-05-2018;11.90
14-05-2018;13.36
15-05-2018;13.18
16-05-2018;12.07
17-05-2018;12.80
18-05-2018;12.71
19-05-2018;12.07
20-05-2018;12.44
21-05-2018;12.49
22-05-2018;14.11
23-05-2018;14.81
24-05-2018;14.73
25-05-2018;12.35
26-05-2018;11.06
27-05-2018;13.56
28-05-2018;12.86
29-05-2018;12.33
30-05-2018;14.55
31-05-2018;12.00
01-06-2018;9.96
02-06-2018;12.72
03-06-2018;14.37
04-06-2018;14.85
05-06-2018;15.47
06-06-2018;15.09
07-06-2018;14.18
08-06-2018;13.66
09-06-2018;13.46
10-06-2018;13.44
11-06-2018;14.11
