Дата;Температура, °С
06-08-2016;22.31
07-08-2016;22.14
08-08-2016;20.79
09-08-2016;20.63
10-08-2016;20.44
11-08-2016;20.69
12-08-2016;20.40
13-08-2016;20.08
14-08-2016;19.95
15-08-2016;19.57
16-08-2016;18.96
17-08-2016;19.56
18-08-2016;20.62
19-08-2016;20.67
20-08-2016;20.11
21-08-2016;19.75
22-08-2016;20.13
23-08-2016;20.24
24-08-2016;19.61
25-08-2016;18.58
26-08-2016;18.18
27-08-2016;17.89
28-08-2016;17.82
29-08-2016;15.76
30-08-2016;16.08
31-08-2016;15.44
01-09-2016;13.95
02-09-2016;14.20
03-09-2016;14.95
04-09-2016;15.02
05-09-2016;15.49
