Дата;Температура, °С
15-06-2013;16.30
16-06-2013;16.40
17-06-2013;14.20
18-06-2013;14.52
19-06-2013;14.53
20-06-2013;14.94
21-06-2013;17.37
22-06-2013;18.90
23-06-2013;20.47
24-06-2013;22.48
25-06-2013;23.62
26-06-2013;23.97
27-06-2013;21.60
28-06-2013;18.50
29-06-2013;20.29
30-06-2013;19.23
01-07-2013;19.26
02-07-2013;19.18
03-07-2013;20.03
04-07-2013;21.45
05-07-2013;21.49
06-07-2013;19.95
07-07-2013;18.74
08-07-2013;19.29
09-07-2013;16.95
10-07-2013;16.55
11-07-2013;16.61
12-07-2013;16.38
13-07-2013;16.29
14-07-2013;17.64
15-07-2013;18.47
