Дата;Температура, °С
18-04-2015;4.89
19-04-2015;4.17
20-04-2015;3.77
21-04-2015;5.13
22-04-2015;6.23
23-04-2015;6.70
24-04-2015;7.37
25-04-2015;7.20
26-04-2015;6.96
27-04-2015;8.42
28-04-2015;9.46
29-04-2015;11.47
30-04-2015;11.04
01-05-2015;10.40
02-05-2015;10.72
03-05-2015;11.08
04-05-2015;11.15
05-05-2015;10.71
06-05-2015;9.77
07-05-2015;9.10
08-05-2015;10.25
09-05-2015;10.32
10-05-2015;11.34
11-05-2015;12.35
12-05-2015;12.50
13-05-2015;13.24
14-05-2015;13.50
15-05-2015;13.54
16-05-2015;12.61
17-05-2015;11.55
18-05-2015;11.49
