Дата;Температура, °С
10-09-2011;13.33
11-09-2011;12.47
12-09-2011;12.20
13-09-2011;12.22
14-09-2011;12.65
15-09-2011;12.80
16-09-2011;12.72
17-09-2011;12.26
18-09-2011;11.85
19-09-2011;10.85
20-09-2011;11.00
21-09-2011;10.94
22-09-2011;9.94
23-09-2011;10.70
24-09-2011;10.73
25-09-2011;10.49
26-09-2011;9.49
27-09-2011;8.66
28-09-2011;8.30
29-09-2011;7.60
30-09-2011;8.26
01-10-2011;8.05
02-10-2011;7.13
03-10-2011;7.79
04-10-2011;8.72
05-10-2011;9.63
06-10-2011;9.62
07-10-2011;10.33
08-10-2011;11.67
09-10-2011;10.38
10-10-2011;9.61
