Дата;Температура, °С
16-05-2015;13.85
17-05-2015;10.14
18-05-2015;9.64
19-05-2015;9.41
20-05-2015;12.29
21-05-2015;16.07
22-05-2015;19.21
23-05-2015;20.74
24-05-2015;20.24
25-05-2015;19.53
26-05-2015;20.25
27-05-2015;22.81
28-05-2015;23.88
29-05-2015;24.87
30-05-2015;25.08
31-05-2015;25.13
01-06-2015;24.11
02-06-2015;21.16
03-06-2015;18.55
04-06-2015;21.17
05-06-2015;18.77
06-06-2015;14.25
07-06-2015;15.22
08-06-2015;19.31
09-06-2015;16.99
10-06-2015;14.54
11-06-2015;14.32
12-06-2015;16.04
13-06-2015;16.65
14-06-2015;21.25
15-06-2015;24.87
