Дата;Температура, °С
26-11-2016;1.53
27-11-2016;3.29
28-11-2016;7.61
29-11-2016;2.93
30-11-2016;-0.24
01-12-2016;-2.07
02-12-2016;-1.31
03-12-2016;-0.83
04-12-2016;-0.51
05-12-2016;-3.76
06-12-2016;-2.99
07-12-2016;-3.94
08-12-2016;-7.74
09-12-2016;0.92
10-12-2016;3.24
11-12-2016;2.03
12-12-2016;2.42
13-12-2016;-3.04
14-12-2016;-10.18
15-12-2016;-8.24
16-12-2016;-8.27
17-12-2016;-14.09
18-12-2016;-7.62
19-12-2016;-1.42
20-12-2016;-2.74
21-12-2016;-8.54
22-12-2016;-4.79
23-12-2016;-5.26
24-12-2016;-4.45
25-12-2016;-3.80
26-12-2016;-2.38
