Дата;Температура, °С
11-06-2016;10.38
12-06-2016;10.73
13-06-2016;11.34
14-06-2016;13.40
15-06-2016;15.31
16-06-2016;17.70
17-06-2016;18.90
18-06-2016;19.59
19-06-2016;17.35
20-06-2016;17.36
21-06-2016;17.65
22-06-2016;17.58
23-06-2016;17.83
24-06-2016;17.57
25-06-2016;18.24
26-06-2016;18.62
27-06-2016;16.41
28-06-2016;16.04
29-06-2016;16.75
30-06-2016;19.39
01-07-2016;20.40
02-07-2016;21.63
03-07-2016;22.88
04-07-2016;19.27
05-07-2016;16.03
06-07-2016;15.49
07-07-2016;15.10
08-07-2016;15.25
09-07-2016;16.08
10-07-2016;16.98
11-07-2016;17.25
