Дата;Температура, °С
15-06-2013;17.80
16-06-2013;21.40
17-06-2013;22.10
18-06-2013;20.30
19-06-2013;19.48
20-06-2013;19.44
21-06-2013;19.04
22-06-2013;18.76
23-06-2013;20.76
24-06-2013;22.74
25-06-2013;24.88
26-06-2013;25.29
27-06-2013;24.71
28-06-2013;24.26
29-06-2013;23.62
30-06-2013;21.08
01-07-2013;20.01
02-07-2013;21.27
03-07-2013;22.23
04-07-2013;21.98
05-07-2013;24.06
06-07-2013;24.65
07-07-2013;24.45
08-07-2013;23.79
09-07-2013;21.74
10-07-2013;20.06
11-07-2013;20.64
12-07-2013;22.01
13-07-2013;21.68
14-07-2013;19.54
15-07-2013;19.33
