Дата;Температура, °С
27-12-2014;-13.69
28-12-2014;-16.75
29-12-2014;-16.30
30-12-2014;-15.51
31-12-2014;-18.07
01-01-2015;-24.57
02-01-2015;-27.58
03-01-2015;-22.51
04-01-2015;-9.62
05-01-2015;-7.65
06-01-2015;-7.35
07-01-2015;-13.83
08-01-2015;-25.20
09-01-2015;-25.23
10-01-2015;-22.35
11-01-2015;-17.61
12-01-2015;-13.27
13-01-2015;-8.54
14-01-2015;-6.38
15-01-2015;-3.65
16-01-2015;-6.73
17-01-2015;-9.68
18-01-2015;-9.13
19-01-2015;-5.23
20-01-2015;-13.41
21-01-2015;-17.67
22-01-2015;-20.91
23-01-2015;-26.99
24-01-2015;-23.99
25-01-2015;-17.17
26-01-2015;-14.21
