Дата;Температура, °С
01-10-2016;5.73
02-10-2016;7.22
03-10-2016;6.62
04-10-2016;6.38
05-10-2016;6.49
06-10-2016;3.89
07-10-2016;2.22
08-10-2016;3.34
09-10-2016;2.56
10-10-2016;1.84
11-10-2016;0.75
12-10-2016;0.21
13-10-2016;-0.39
14-10-2016;-0.45
15-10-2016;-1.61
16-10-2016;-2.00
17-10-2016;-1.29
18-10-2016;0.07
19-10-2016;-0.39
20-10-2016;-1.94
21-10-2016;-2.80
22-10-2016;-4.80
23-10-2016;-2.84
24-10-2016;-0.69
25-10-2016;-1.01
26-10-2016;-0.25
27-10-2016;-1.18
28-10-2016;-2.87
29-10-2016;-2.98
30-10-2016;-3.40
31-10-2016;-4.70
