Дата;Температура, °С
08-07-2017;14.03
09-07-2017;14.22
10-07-2017;15.17
11-07-2017;16.32
12-07-2017;18.46
13-07-2017;19.69
14-07-2017;20.35
15-07-2017;22.43
16-07-2017;23.70
17-07-2017;24.31
18-07-2017;21.12
19-07-2017;19.86
20-07-2017;20.25
21-07-2017;19.82
22-07-2017;19.16
23-07-2017;18.31
24-07-2017;17.52
25-07-2017;18.43
26-07-2017;19.88
27-07-2017;22.07
28-07-2017;24.48
29-07-2017;26.90
30-07-2017;25.83
31-07-2017;22.43
01-08-2017;21.72
02-08-2017;22.12
03-08-2017;21.40
04-08-2017;22.20
05-08-2017;22.22
06-08-2017;20.95
07-08-2017;20.92
