Дата;Температура, °С
20-02-2016;-1.36
21-02-2016;-2.28
22-02-2016;-2.94
23-02-2016;-2.37
24-02-2016;-2.71
25-02-2016;-2.20
26-02-2016;-2.06
27-02-2016;-3.35
28-02-2016;-2.95
29-02-2016;-5.31
01-03-2016;-6.75
02-03-2016;-5.94
03-03-2016;-4.76
04-03-2016;-3.42
05-03-2016;-1.79
06-03-2016;-1.10
07-03-2016;-0.57
08-03-2016;0.86
09-03-2016;1.86
10-03-2016;0.61
11-03-2016;-0.19
12-03-2016;-0.54
13-03-2016;-1.05
14-03-2016;-2.05
15-03-2016;-0.69
16-03-2016;1.27
17-03-2016;-0.41
18-03-2016;-4.70
19-03-2016;-6.40
20-03-2016;-6.21
21-03-2016;-5.68
