Дата;Температура, °С
11-06-2016;16.51
12-06-2016;16.86
13-06-2016;17.42
14-06-2016;18.28
15-06-2016;18.75
16-06-2016;19.65
17-06-2016;20.13
18-06-2016;20.84
19-06-2016;20.54
20-06-2016;20.80
21-06-2016;21.44
22-06-2016;21.44
23-06-2016;21.12
24-06-2016;20.61
25-06-2016;19.77
26-06-2016;20.43
27-06-2016;20.48
28-06-2016;18.21
29-06-2016;18.42
30-06-2016;19.33
01-07-2016;20.11
02-07-2016;20.82
03-07-2016;21.47
04-07-2016;21.07
05-07-2016;19.44
06-07-2016;19.30
07-07-2016;19.87
08-07-2016;19.32
09-07-2016;19.37
10-07-2016;19.63
11-07-2016;19.92
