Дата;Температура, °С
01-03-2019;-5.70
02-03-2019;-6.36
03-03-2019;-5.40
04-03-2019;-5.48
05-03-2019;-4.51
06-03-2019;-4.80
07-03-2019;-4.76
08-03-2019;-2.65
09-03-2019;-2.62
10-03-2019;-3.40
11-03-2019;-3.83
12-03-2019;-4.58
13-03-2019;-5.22
14-03-2019;-4.21
15-03-2019;-4.67
16-03-2019;-3.89
17-03-2019;-1.96
18-03-2019;-1.89
19-03-2019;-4.00
20-03-2019;-5.50
21-03-2019;-8.14
22-03-2019;-8.55
23-03-2019;-8.45
24-03-2019;-5.82
25-03-2019;-2.95
26-03-2019;-3.93
27-03-2019;-4.68
28-03-2019;-5.13
29-03-2019;-4.54
30-03-2019;-3.39
31-03-2019;-2.78
