Дата;Температура, °С
01-05-2013;8.93
02-05-2013;9.04
03-05-2013;9.81
04-05-2013;11.47
05-05-2013;11.51
06-05-2013;11.53
07-05-2013;11.43
08-05-2013;11.70
09-05-2013;10.86
10-05-2013;11.61
11-05-2013;12.79
12-05-2013;12.71
13-05-2013;14.00
14-05-2013;15.39
15-05-2013;15.81
16-05-2013;16.43
17-05-2013;16.37
18-05-2013;13.46
19-05-2013;13.54
20-05-2013;13.85
21-05-2013;12.43
22-05-2013;11.64
23-05-2013;13.69
24-05-2013;15.11
25-05-2013;15.67
26-05-2013;16.30
27-05-2013;16.44
28-05-2013;16.25
29-05-2013;15.92
30-05-2013;16.92
31-05-2013;16.44
