Дата;Температура, °С
31-03-2020;-2.09
01-04-2020;-1.87
02-04-2020;2.78
03-04-2020;6.28
04-04-2020;5.10
05-04-2020;1.59
06-04-2020;1.08
07-04-2020;2.91
08-04-2020;8.59
09-04-2020;8.93
10-04-2020;7.21
11-04-2020;2.49
12-04-2020;2.26
13-04-2020;7.58
14-04-2020;7.83
15-04-2020;2.83
16-04-2020;3.54
17-04-2020;3.65
18-04-2020;2.74
19-04-2020;3.45
20-04-2020;3.48
21-04-2020;5.19
22-04-2020;5.39
23-04-2020;4.95
24-04-2020;5.42
25-04-2020;6.85
26-04-2020;6.00
27-04-2020;5.59
28-04-2020;6.27
29-04-2020;9.54
30-04-2020;7.20
