Дата;Температура, °С
31-10-2016;-8.38
01-11-2016;-8.42
02-11-2016;-6.73
03-11-2016;-7.89
04-11-2016;-9.24
05-11-2016;-9.20
06-11-2016;-10.41
07-11-2016;-9.92
08-11-2016;-10.45
09-11-2016;-11.69
10-11-2016;-10.30
11-11-2016;-5.87
12-11-2016;-6.14
13-11-2016;-8.98
14-11-2016;-6.67
15-11-2016;-11.38
16-11-2016;-13.08
17-11-2016;-12.05
18-11-2016;-9.18
19-11-2016;-12.62
20-11-2016;-14.42
21-11-2016;-15.58
22-11-2016;-17.65
23-11-2016;-17.97
24-11-2016;-17.82
25-11-2016;-16.90
26-11-2016;-13.45
27-11-2016;-12.06
28-11-2016;-14.13
29-11-2016;-13.58
30-11-2016;-10.13
