Дата;Температура, °С
01-01-2016;-14.26
02-01-2016;-14.08
03-01-2016;-16.77
04-01-2016;-16.97
05-01-2016;-16.80
06-01-2016;-14.78
07-01-2016;-13.69
08-01-2016;-15.39
09-01-2016;-16.90
10-01-2016;-19.99
11-01-2016;-20.19
12-01-2016;-18.31
13-01-2016;-19.87
14-01-2016;-22.09
15-01-2016;-21.75
16-01-2016;-20.42
17-01-2016;-21.37
18-01-2016;-19.80
19-01-2016;-15.83
20-01-2016;-16.80
21-01-2016;-20.40
22-01-2016;-21.04
23-01-2016;-21.36
24-01-2016;-20.96
25-01-2016;-17.47
26-01-2016;-15.79
27-01-2016;-15.76
28-01-2016;-19.12
29-01-2016;-23.02
30-01-2016;-24.06
31-01-2016;-22.79
