Дата;Температура, °С
01-10-2014;5.43
02-10-2014;5.01
03-10-2014;4.01
04-10-2014;4.94
05-10-2014;5.82
06-10-2014;5.77
07-10-2014;5.91
08-10-2014;5.59
09-10-2014;5.48
10-10-2014;5.17
11-10-2014;6.54
12-10-2014;6.58
13-10-2014;2.46
14-10-2014;3.10
15-10-2014;5.00
16-10-2014;4.61
17-10-2014;3.25
18-10-2014;6.03
19-10-2014;8.13
20-10-2014;2.04
21-10-2014;-3.64
22-10-2014;-0.83
23-10-2014;4.52
24-10-2014;5.35
25-10-2014;4.59
26-10-2014;1.31
27-10-2014;-2.52
28-10-2014;-1.77
29-10-2014;0.18
30-10-2014;0.55
31-10-2014;-0.76
