Дата;Температура, °С
01-05-2011;13.10
02-05-2011;14.60
03-05-2011;13.30
04-05-2011;13.10
05-05-2011;13.60
06-05-2011;14.20
07-05-2011;12.00
08-05-2011;15.20
09-05-2011;15.60
10-05-2011;16.10
11-05-2011;14.90
12-05-2011;9.50
13-05-2011;9.60
14-05-2011;9.40
15-05-2011;11.30
16-05-2011;14.50
17-05-2011;16.20
18-05-2011;18.10
19-05-2011;17.00
20-05-2011;14.70
21-05-2011;18.90
22-05-2011;19.60
23-05-2011;18.50
24-05-2011;16.80
25-05-2011;16.20
26-05-2011;16.30
27-05-2011;13.80
28-05-2011;11.40
29-05-2011;15.60
30-05-2011;21.10
31-05-2011;20.90
