Дата;Температура, °С
01-07-2018;11.75
02-07-2018;13.16
03-07-2018;15.93
04-07-2018;16.25
05-07-2018;16.21
06-07-2018;16.51
07-07-2018;17.06
08-07-2018;16.56
09-07-2018;15.76
10-07-2018;16.59
11-07-2018;18.72
12-07-2018;20.53
13-07-2018;20.71
14-07-2018;20.99
15-07-2018;21.82
16-07-2018;22.79
17-07-2018;23.44
18-07-2018;22.80
19-07-2018;22.69
20-07-2018;22.29
21-07-2018;21.88
22-07-2018;21.87
23-07-2018;22.37
24-07-2018;22.90
25-07-2018;22.08
26-07-2018;21.48
27-07-2018;21.36
28-07-2018;20.88
29-07-2018;20.41
30-07-2018;21.27
31-07-2018;22.04
