Дата;Температура, °С
31-08-2020;18.66
01-09-2020;18.66
02-09-2020;16.33
03-09-2020;15.79
04-09-2020;14.73
05-09-2020;13.98
06-09-2020;14.28
07-09-2020;14.84
08-09-2020;14.19
09-09-2020;13.50
10-09-2020;13.35
11-09-2020;12.98
12-09-2020;12.69
13-09-2020;12.72
14-09-2020;12.52
15-09-2020;12.34
16-09-2020;11.88
17-09-2020;12.61
18-09-2020;11.17
19-09-2020;10.25
20-09-2020;9.74
21-09-2020;9.72
22-09-2020;11.06
23-09-2020;11.46
24-09-2020;11.30
25-09-2020;11.21
26-09-2020;11.46
27-09-2020;11.48
28-09-2020;10.23
29-09-2020;9.85
30-09-2020;9.61
