Дата;Температура, °С
01-08-2020;20.40
02-08-2020;20.02
03-08-2020;18.56
04-08-2020;18.14
05-08-2020;18.18
06-08-2020;17.65
07-08-2020;17.58
08-08-2020;17.71
09-08-2020;18.12
10-08-2020;19.14
11-08-2020;19.75
12-08-2020;19.73
13-08-2020;19.70
14-08-2020;17.24
15-08-2020;17.85
16-08-2020;18.13
17-08-2020;18.29
18-08-2020;17.16
19-08-2020;16.87
20-08-2020;15.81
21-08-2020;16.59
22-08-2020;17.34
23-08-2020;17.66
24-08-2020;17.58
25-08-2020;17.77
26-08-2020;18.29
27-08-2020;18.44
28-08-2020;17.66
29-08-2020;16.11
30-08-2020;14.84
31-08-2020;14.28
