Дата;Температура, °С
01-10-2018;16.03
02-10-2018;17.92
03-10-2018;18.39
04-10-2018;14.74
05-10-2018;10.31
06-10-2018;8.81
07-10-2018;11.45
08-10-2018;14.08
09-10-2018;15.66
10-10-2018;15.39
11-10-2018;15.23
12-10-2018;13.11
13-10-2018;11.71
14-10-2018;12.66
15-10-2018;14.24
16-10-2018;15.86
17-10-2018;15.13
18-10-2018;14.41
19-10-2018;13.73
20-10-2018;14.30
21-10-2018;15.05
22-10-2018;14.15
23-10-2018;12.88
24-10-2018;12.68
25-10-2018;11.97
26-10-2018;7.81
27-10-2018;8.56
28-10-2018;12.03
29-10-2018;13.03
30-10-2018;11.02
31-10-2018;8.77
