Дата;Температура, °С
01-10-2015;8.29
02-10-2015;11.00
03-10-2015;12.24
04-10-2015;8.40
05-10-2015;11.68
06-10-2015;7.34
07-10-2015;1.14
08-10-2015;0.82
09-10-2015;-0.07
10-10-2015;1.31
11-10-2015;2.02
12-10-2015;3.32
13-10-2015;3.62
14-10-2015;3.04
15-10-2015;4.57
16-10-2015;4.59
17-10-2015;4.58
18-10-2015;6.41
19-10-2015;5.57
20-10-2015;1.23
21-10-2015;-1.63
22-10-2015;0.93
23-10-2015;1.75
24-10-2015;3.57
25-10-2015;4.65
26-10-2015;4.42
27-10-2015;4.65
28-10-2015;2.10
29-10-2015;0.01
30-10-2015;0.25
31-10-2015;-0.84
