Дата;Температура, °С
01-12-2017;-0.63
02-12-2017;0.96
03-12-2017;0.59
04-12-2017;0.12
05-12-2017;-1.78
06-12-2017;-2.60
07-12-2017;-3.99
08-12-2017;-5.19
09-12-2017;-1.86
10-12-2017;0.49
11-12-2017;1.20
12-12-2017;0.42
13-12-2017;2.58
14-12-2017;0.87
15-12-2017;1.98
16-12-2017;2.86
17-12-2017;4.35
18-12-2017;0.63
19-12-2017;-0.27
20-12-2017;-0.47
21-12-2017;-1.10
22-12-2017;-3.39
23-12-2017;-3.67
24-12-2017;-2.16
25-12-2017;-2.88
26-12-2017;-2.06
27-12-2017;1.91
28-12-2017;1.39
29-12-2017;2.16
30-12-2017;1.64
31-12-2017;0.74
