Дата;Температура, °С
31-08-2013;13.27
01-09-2013;13.30
02-09-2013;12.79
03-09-2013;12.39
04-09-2013;11.69
05-09-2013;11.68
06-09-2013;12.00
07-09-2013;12.36
08-09-2013;13.01
09-09-2013;12.47
10-09-2013;11.68
11-09-2013;10.89
12-09-2013;12.14
13-09-2013;12.51
14-09-2013;12.03
15-09-2013;11.95
16-09-2013;11.94
17-09-2013;11.99
18-09-2013;13.42
19-09-2013;12.58
20-09-2013;11.86
21-09-2013;11.14
22-09-2013;10.59
23-09-2013;8.77
24-09-2013;6.77
25-09-2013;4.57
26-09-2013;5.28
27-09-2013;5.46
28-09-2013;5.35
29-09-2013;3.48
30-09-2013;2.84
