Дата;Температура, °С
01-08-2014;14.25
02-08-2014;15.39
03-08-2014;18.61
04-08-2014;19.48
05-08-2014;19.25
06-08-2014;19.30
07-08-2014;17.93
08-08-2014;19.44
09-08-2014;20.72
10-08-2014;21.18
11-08-2014;16.56
12-08-2014;13.40
13-08-2014;13.57
14-08-2014;15.05
15-08-2014;16.77
16-08-2014;19.22
17-08-2014;21.04
18-08-2014;20.55
19-08-2014;19.16
20-08-2014;18.07
21-08-2014;18.73
22-08-2014;18.45
23-08-2014;18.03
24-08-2014;17.43
25-08-2014;13.33
26-08-2014;11.89
27-08-2014;12.87
28-08-2014;13.69
29-08-2014;15.79
30-08-2014;15.25
31-08-2014;12.76
