Дата;Температура, °С
01-05-2011;2.90
02-05-2011;2.90
03-05-2011;5.60
04-05-2011;4.40
05-05-2011;7.10
06-05-2011;9.40
07-05-2011;8.00
08-05-2011;9.00
09-05-2011;10.10
10-05-2011;8.20
11-05-2011;7.50
12-05-2011;6.60
13-05-2011;7.00
14-05-2011;6.00
15-05-2011;9.60
16-05-2011;12.90
17-05-2011;11.40
18-05-2011;10.10
19-05-2011;9.90
20-05-2011;13.00
21-05-2011;12.10
22-05-2011;10.10
23-05-2011;12.60
24-05-2011;15.10
25-05-2011;14.00
26-05-2011;11.10
27-05-2011;11.60
28-05-2011;14.00
29-05-2011;14.40
30-05-2011;12.80
31-05-2011;15.80
