Дата;Температура, °С
01-12-2018;-15.80
02-12-2018;-20.33
03-12-2018;-20.58
04-12-2018;-27.79
05-12-2018;-30.80
06-12-2018;-28.90
07-12-2018;-25.74
08-12-2018;-20.39
09-12-2018;-21.55
10-12-2018;-19.94
11-12-2018;-18.01
12-12-2018;-16.57
13-12-2018;-12.66
14-12-2018;-10.23
15-12-2018;-8.63
16-12-2018;-9.00
17-12-2018;-9.19
18-12-2018;-8.46
19-12-2018;-8.61
20-12-2018;-16.51
21-12-2018;-18.83
22-12-2018;-15.22
23-12-2018;-19.58
24-12-2018;-28.81
25-12-2018;-28.97
26-12-2018;-30.35
27-12-2018;-29.71
28-12-2018;-28.06
29-12-2018;-27.82
30-12-2018;-26.22
31-12-2018;-20.10
