Дата;Температура, °С
01-03-2017;-8.47
02-03-2017;-13.33
03-03-2017;-13.61
04-03-2017;-12.71
05-03-2017;-11.16
06-03-2017;-8.40
07-03-2017;-6.30
08-03-2017;-4.44
09-03-2017;-4.66
10-03-2017;-3.91
11-03-2017;-3.40
12-03-2017;-2.34
13-03-2017;-3.03
14-03-2017;-3.23
15-03-2017;-1.98
16-03-2017;-0.73
17-03-2017;-0.36
18-03-2017;-0.18
19-03-2017;0.91
20-03-2017;0.28
21-03-2017;-0.06
22-03-2017;-1.24
23-03-2017;-0.94
24-03-2017;-0.30
25-03-2017;0.45
26-03-2017;0.31
27-03-2017;0.62
28-03-2017;1.87
29-03-2017;2.42
30-03-2017;1.60
31-03-2017;1.81
