Дата;Температура, °С
31-10-2011;3.50
01-11-2011;4.10
02-11-2011;3.50
03-11-2011;1.10
04-11-2011;0.25
05-11-2011;1.20
06-11-2011;-0.70
07-11-2011;-0.70
08-11-2011;-1.00
09-11-2011;-0.50
10-11-2011;1.70
11-11-2011;2.70
12-11-2011;-3.40
13-11-2011;-5.30
14-11-2011;-9.30
15-11-2011;-10.90
16-11-2011;-11.70
17-11-2011;-10.30
18-11-2011;-7.30
19-11-2011;-9.30
20-11-2011;-12.90
21-11-2011;-12.60
22-11-2011;-12.80
23-11-2011;-13.30
24-11-2011;-14.00
25-11-2011;-12.70
26-11-2011;-12.80
27-11-2011;-10.20
28-11-2011;-8.90
29-11-2011;-13.50
30-11-2011;-18.40
