Дата;Температура, °С
01-12-2014;-19.43
02-12-2014;-17.12
03-12-2014;-17.07
04-12-2014;-13.56
05-12-2014;-15.50
06-12-2014;-14.10
07-12-2014;-14.14
08-12-2014;-15.05
09-12-2014;-12.80
10-12-2014;-12.25
11-12-2014;-10.13
12-12-2014;-10.17
13-12-2014;-14.69
14-12-2014;-14.13
15-12-2014;-11.39
16-12-2014;-9.33
17-12-2014;-9.19
18-12-2014;-11.48
19-12-2014;-13.49
20-12-2014;-13.20
21-12-2014;-10.68
22-12-2014;-7.00
23-12-2014;-7.21
24-12-2014;-10.49
25-12-2014;-8.04
26-12-2014;-6.68
27-12-2014;-6.19
28-12-2014;-10.83
29-12-2014;-17.14
30-12-2014;-21.12
31-12-2014;-13.30
