Дата;Температура, °С
31-03-2013;-0.57
01-04-2013;0.69
02-04-2013;1.72
03-04-2013;1.69
04-04-2013;2.01
05-04-2013;2.67
06-04-2013;4.02
07-04-2013;2.99
08-04-2013;2.53
09-04-2013;2.40
10-04-2013;3.39
11-04-2013;4.98
12-04-2013;4.32
13-04-2013;3.12
14-04-2013;3.29
15-04-2013;4.24
16-04-2013;5.31
17-04-2013;6.67
18-04-2013;7.95
19-04-2013;8.52
20-04-2013;9.34
21-04-2013;8.30
22-04-2013;7.82
23-04-2013;7.76
24-04-2013;8.15
25-04-2013;7.74
26-04-2013;7.97
27-04-2013;9.09
28-04-2013;9.59
29-04-2013;9.37
30-04-2013;9.77
