Дата;Температура, °С
01-07-2013;19.97
02-07-2013;20.57
03-07-2013;20.21
04-07-2013;19.31
05-07-2013;19.03
06-07-2013;19.97
07-07-2013;20.25
08-07-2013;19.45
09-07-2013;20.06
10-07-2013;19.33
11-07-2013;19.12
12-07-2013;19.94
13-07-2013;20.77
14-07-2013;21.70
15-07-2013;22.29
16-07-2013;21.51
17-07-2013;20.96
18-07-2013;20.49
19-07-2013;20.08
20-07-2013;19.52
21-07-2013;19.39
22-07-2013;20.63
23-07-2013;20.48
24-07-2013;20.16
25-07-2013;20.03
26-07-2013;20.51
27-07-2013;21.68
28-07-2013;20.93
29-07-2013;21.23
30-07-2013;21.17
31-07-2013;21.08
