Дата;Температура, °С
31-03-2011;3.40
01-04-2011;1.60
02-04-2011;-1.20
03-04-2011;-0.50
04-04-2011;4.20
05-04-2011;8.30
06-04-2011;4.80
07-04-2011;2.80
08-04-2011;3.30
09-04-2011;3.60
10-04-2011;2.00
11-04-2011;1.30
12-04-2011;2.80
13-04-2011;1.60
14-04-2011;3.00
15-04-2011;0.50
16-04-2011;2.90
17-04-2011;3.80
18-04-2011;3.70
19-04-2011;3.60
20-04-2011;3.30
21-04-2011;3.30
22-04-2011;3.70
23-04-2011;3.50
24-04-2011;3.20
25-04-2011;3.70
26-04-2011;5.00
27-04-2011;5.00
28-04-2011;5.90
29-04-2011;6.70
30-04-2011;5.75
